MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:88467	Col1a1	collagen, type I, alpha 1	11		extracellular matrix	is a part of mesangial cell		IDA		J:28978 	
MGI:88467	Col1a1	collagen, type I, alpha 1	11		extracellular matrix			IDA		J:27457 J:36211 J:63311 	
MGI:88468	Col1a2	collagen, type I, alpha 2	6		collagen type I trimer			IBA	PTN002770820 	J:265628 	
MGI:88468	Col1a2	collagen, type I, alpha 2	6		collagen type I trimer			IDA		J:20667 	
MGI:88468	Col1a2	collagen, type I, alpha 2	6		collagen type I trimer			ISO	P08123 	J:164563 	
MGI:88468	Col1a2	collagen, type I, alpha 2	6		collagen-containing extracellular matrix	is a part of lung|is a part of colon		HDA		J:265604 	
MGI:88468	Col1a2	collagen, type I, alpha 2	6		collagen-containing extracellular matrix	is a part of islets of Langerhans		HDA		J:265607 	
MGI:88468	Col1a2	collagen, type I, alpha 2	6		collagen-containing extracellular matrix	is a part of fibroblast		HDA		J:213088 	
MGI:88468	Col1a2	collagen, type I, alpha 2	6		extracellular matrix			IBA	PTN004649045 	J:265628 	
MGI:88452	Col2a1	collagen, type II, alpha 1	15		basement membrane	is a part of ciliary epithelium,is a part of epithelial cell		IDA		J:68440 	
MGI:88452	Col2a1	collagen, type II, alpha 1	15		collagen type II trimer			IBA	PTN001166557 	J:265628 	
MGI:88452	Col2a1	collagen, type II, alpha 1	15		collagen type II trimer	is a part of scapula,is a part of chondrocyte|is a part of humerus,is a part of chondrocyte		IDA		J:52896 	
MGI:88452	Col2a1	collagen, type II, alpha 1	15		collagen type II trimer	is a part of EMAPA:35508		IMP	MGI:1857275 	J:6582 	
MGI:88452	Col2a1	collagen, type II, alpha 1	15		collagen type II trimer			ISO	P02458 	J:164563 	
MGI:88452	Col2a1	collagen, type II, alpha 1	15		collagen-containing extracellular matrix	is a part of islets of Langerhans	UniProtKB:P28481-5	HDA		J:265607 	
MGI:88452	Col2a1	collagen, type II, alpha 1	15		collagen-containing extracellular matrix			ISO	RGD:2375 	J:155856 	
MGI:88452	Col2a1	collagen, type II, alpha 1	15		extracellular matrix			IBA	PTN004649045 	J:265628 	
MGI:88452	Col2a1	collagen, type II, alpha 1	15		extracellular matrix	is a part of inner ear		IDA		J:32201 	
MGI:88452	Col2a1	collagen, type II, alpha 1	15		extracellular matrix	is a part of tibia		IDA		J:128547 	
MGI:88452	Col2a1	collagen, type II, alpha 1	15		extracellular matrix	is a part of cartilage|is a part of hypertrophic cartilage zone		IDA		J:45403 	
MGI:88452	Col2a1	collagen, type II, alpha 1	15		extracellular matrix	is a part of long bone epiphyseal plate		IDA		J:182341 	
MGI:88452	Col2a1	collagen, type II, alpha 1	15		extracellular matrix			IDA		J:174146 J:202984 J:214169 	
